Group              Score
Gedächtnis_t0      94.6
Gedächtnis_t0      89.2
Gedächtnis_t0      87.6
Gedächtnis_t0      89.3
Gedächtnis_t0      81.9
Gedächtnis_t0      89.1
Gedächtnis_t0      94.9
Gedächtnis_t0      88.7
Gedächtnis_t0      86.9
Gedächtnis_t0      89.0
Gedächtnis_t0      81.8
Gedächtnis_t0      88.7
Gedächtnis_t14     98.3
Gedächtnis_t14     91.9
Gedächtnis_t14     89.5
Gedächtnis_t14     91.9
Gedächtnis_t14     85.2
Gedächtnis_t14     91.8
Gedächtnis_t14     98.7
Gedächtnis_t14     91.8
Gedächtnis_t14     89.3
Gedächtnis_t14     91.5
Gedächtnis_t14     85.0
Gedächtnis_t14     91.6
Gedächtnis_t14     98.6
Gedächtnis_t14     91.8
Gedächtnis_t14     89.7
Gedächtnis_t14     91.5
Gedächtnis_t14     84.9
Konzentration_t0   95.7
Konzentration_t0   88.7
Konzentration_t0   87.2
Konzentration_t0   89.1
Konzentration_t0   81.8
Konzentration_t0   88.8
Konzentration_t0   95.3
Konzentration_t0   89.0
Konzentration_t0   86.5
Konzentration_t0   88.8
Konzentration_t0   81.6
Konzentration_t0   88.7
Konzentration_t0   95.4
Konzentration_t0   89.2
Konzentration_t0   87.0
Konzentration_t0   89.2
Konzentration_t14  98.1
Konzentration_t14  91.1
Konzentration_t14  88.8
Konzentration_t14  91.2
Konzentration_t14  84.4
Konzentration_t14  91.1
Konzentration_t14  98.3
Konzentration_t14  91.3
Konzentration_t14  88.9
Konzentration_t14  91.3
Konzentration_t14  84.2
Konzentration_t14  91.4
Konzentration_t14  98.1
Konzentration_t14  91.2
Konzentration_t14  88.9
Konzentration_t14  91.3
Konzentration_t14  84.5
